Idx,Raw,Ref,Corrected
0,0,4095,0
1,0,4095,0
2,0,4095,0
3,168,3071,0
4,168,3071,0
5,168,3071,0
6,168,3071,0
7,41,2356,0
8,41,2356,0
9,41,2356,0
10,41,2356,0
11,27,2052,0
12,27,2052,0
13,27,2052,0
14,27,2052,0
15,582,1846,0
16,582,1846,0
17,582,1846,0
18,582,1846,0
19,0,3790,0
20,0,3790,0
21,0,3790,0
22,0,3790,0
23,578,2648,0
24,578,2648,0
25,578,2648,0
26,578,2648,0
27,187,2198,0
28,187,2198,0
29,187,2198,0
30,187,2198,0
31,2073,1954,119
32,2073,1954,119
33,2073,1954,119
34,2073,1954,119
35,2321,1774,547
36,2321,1774,547
37,2321,1774,547
38,2321,1774,547
39,2375,1634,741
40,2375,1634,741
41,2375,1634,741
42,2375,1634,741
43,1992,1496,496
44,1992,1496,496
45,1992,1496,496
46,1992,1496,496
47,2436,1386,1050
48,2436,1386,1050
49,2436,1386,1050
