Idx,Raw,Ref,Corrected,EchoIdx,Thickness_mm
0,4095,4095,0,17,1.05
1,4095,4095,0,17,1.05
2,2818,4095,0,17,1.05
3,2818,2638,180,17,1.05
4,2818,2638,180,17,1.05
5,2239,2180,59,17,1.05
6,2239,2180,59,17,1.05
7,1959,2180,0,17,1.05
8,1959,1915,44,17,1.05
9,1959,1915,44,17,1.05
10,3613,3226,387,17,1.05
11,3613,3226,387,17,1.05
12,3568,3172,396,17,1.05
13,3568,3172,396,17,1.05
14,3290,3172,118,17,1.05
15,3290,2344,946,17,1.05
16,3290,2344,946,17,1.05
17,4095,2018,2077,17,1.05
18,4095,2018,2077,17,1.05
19,4035,2018,2017,17,1.05
20,4035,1811,2224,17,1.05
21,4095,1811,2284,17,1.05
22,4095,1648,2447,17,1.05
23,4095,1648,2447,17,1.05
24,4095,1507,2588,17,1.05
25,4095,1507,2588,17,1.05
26,3955,1507,2448,17,1.05
27,3955,1382,2573,17,1.05
28,3955,1382,2573,17,1.05
29,4095,1273,2822,17,1.05
30,4095,1273,2822,17,1.05
31,3779,1180,2599,17,1.05
32,3779,1180,2599,17,1.05
33,4095,1180,2915,17,1.05
34,4095,1087,3008,17,1.05
35,4095,1087,3008,17,1.05
36,3562,1007,2555,17,1.05
37,3562,1007,2555,17,1.05
38,2707,1007,1700,17,1.05
39,2707,927,1780,17,1.05
40,2707,927,1780,17,1.05
41,3460,860,2600,17,1.05
42,3460,860,2600,17,1.05
43,2936,796,2140,17,1.05
44,2936,796,2140,17,1.05
45,2946,796,2150,17,1.05
46,2946,737,2209,17,1.05
47,2946,737,2209,17,1.05
48,2645,685,1960,17,1.05
49,2645,685,1960,17,1.05
